fecha,REP_ultimo,REP_per,REP_bpa,REP_rentabilidad_por_dividendo,REP_precio_valor_contable,REP_ebitda
2018-05-07,"14,986","5,33","1,46","6,98","0,40","7.173,00"
2018-05-08,"14,880","5,33","1,46","6,98","0,40","7.173,00"
2018-05-09,"15,258","5,33","1,46","6,98","0,40","7.173,00"
2018-05-10,"15,193","5,33","1,46","6,98","0,40","7.173,00"
2018-05-11,"15,350","5,33","1,46","6,98","0,40","7.173,00"
2018-05-14,"15,378","5,33","1,46","6,98","0,40","7.173,00"
2018-05-15,"15,442","5,33","1,46","6,98","0,40","7.173,00"
2018-05-16,"15,452","5,33","1,46","6,98","0,40","7.173,00"
2018-05-17,"15,765","5,33","1,46","6,98","0,40","7.173,00"
2018-05-18,"15,742","5,33","1,46","6,98","0,40","7.173,00"
2018-05-21,"15,811","5,33","1,46","6,98","0,40","7.173,00"
2018-05-22,"15,830","5,33","1,46","6,98","0,40","7.173,00"
2018-05-23,"15,138","5,33","1,46","6,98","0,40","7.173,00"
2018-05-24,"14,990","5,33","1,46","6,98","0,40","7.173,00"
2018-05-25,"14,538","5,33","1,46","6,98","0,40","7.173,00"
2018-05-28,"14,455","5,33","1,46","6,98","0,40","7.173,00"
2018-05-29,"14,437","5,33","1,46","6,98","0,40","7.173,00"
2018-05-30,"15,041","5,33","1,46","6,98","0,40","7.173,00"
2018-05-31,"15,041","5,33","1,46","6,98","0,40","7.173,00"
2018-06-01,"15,226","5,33","1,46","6,98","0,40","7.173,00"
2018-06-04,"15,180","5,33","1,46","6,98","0,40","7.173,00"
2018-06-05,"15,143","5,33","1,46","6,98","0,40","7.173,00"
2018-06-06,"15,595","5,33","1,46","6,98","0,40","7.173,00"
2018-06-07,"15,876","5,33","1,46","6,98","0,40","7.173,00"
2018-06-08,"15,714","5,33","1,46","6,98","0,40","7.173,00"
2018-06-11,"15,941","5,33","1,46","6,98","0,40","7.173,00"
2018-06-12,"15,784","5,33","1,46","6,98","0,40","7.173,00"
2018-06-13,"15,728","5,33","1,46","6,98","0,40","7.173,00"
2018-06-14,"15,885","5,33","1,46","6,98","0,40","7.173,00"
2018-06-15,"15,793","5,33","1,46","6,98","0,40","7.173,00"
2018-06-18,"15,780","5,33","1,46","6,98","0,40","7.173,00"
2018-06-19,"15,728","5,33","1,46","6,98","0,40","7.173,00"
2018-06-20,"15,472","5,33","1,46","6,98","0,40","7.173,00"
2018-06-21,"15,373","5,33","1,46","6,98","0,40","7.173,00"
2018-06-22,"15,799","5,33","1,46","6,98","0,40","7.173,00"
2018-06-25,"15,534","5,33","1,46","6,98","0,40","7.173,00"
2018-06-26,"15,623","5,33","1,46","6,98","0,40","7.173,00"
2018-06-27,"15,898","5,33","1,46","6,98","0,40","7.173,00"
2018-06-28,"15,964","5,33","1,46","6,98","0,40","7.173,00"
2018-06-29,"15,860","5,33","1,46","6,98","0,40","7.173,00"
2018-07-02,"15,780","5,33","1,46","6,98","0,40","7.173,00"
2018-07-03,"15,950","5,33","1,46","6,98","0,40","7.173,00"
2018-07-04,"16,011","5,33","1,46","6,98","0,40","7.173,00"
2018-07-05,"16,323","5,33","1,46","6,98","0,40","7.173,00"
2018-07-06,"16,234","5,33","1,46","6,98","0,40","7.173,00"
2018-07-09,"16,338","5,33","1,46","6,98","0,40","7.173,00"
2018-07-10,"16,352","5,33","1,46","6,98","0,40","7.173,00"
2018-07-11,"16,092","5,33","1,46","6,98","0,40","7.173,00"
2018-07-12,"16,044","5,33","1,46","6,98","0,40","7.173,00"
2018-07-13,"16,068","5,33","1,46","6,98","0,40","7.173,00"
2018-07-16,"15,893","5,33","1,46","6,98","0,40","7.173,00"
2018-07-17,"15,912","5,33","1,46","6,98","0,40","7.173,00"
2018-07-18,"15,846","5,33","1,46","6,98","0,40","7.173,00"
2018-07-19,"16,035","5,33","1,46","6,98","0,40","7.173,00"
2018-07-20,"15,945","5,33","1,46","6,98","0,40","7.173,00"
2018-07-23,"15,950","5,33","1,46","6,98","0,40","7.173,00"
2018-07-24,"15,940","5,33","1,46","6,98","0,40","7.173,00"
2018-07-25,"15,860","5,33","1,46","6,98","0,40","7.173,00"
2018-07-26,"15,803","5,33","1,46","6,98","0,40","7.173,00"
2018-07-27,"15,884","5,33","1,46","6,98","0,40","7.173,00"
2018-07-30,"15,988","5,33","1,46","6,98","0,40","7.173,00"
2018-07-31,"16,059","5,33","1,46","6,98","0,40","7.173,00"
2018-08-01,"15,992","5,33","1,46","6,98","0,40","7.173,00"
2018-08-02,"15,973","5,33","1,46","6,98","0,40","7.173,00"
2018-08-03,"16,073","5,33","1,46","6,98","0,40","7.173,00"
2018-08-06,"16,063","5,33","1,46","6,98","0,40","7.173,00"
2018-08-07,"16,153","5,33","1,46","6,98","0,40","7.173,00"
2018-08-08,"16,148","5,33","1,46","6,98","0,40","7.173,00"
2018-08-09,"16,087","5,33","1,46","6,98","0,40","7.173,00"
2018-08-10,"15,940","5,33","1,46","6,98","0,40","7.173,00"
2018-08-13,"15,808","5,33","1,46","6,98","0,40","7.173,00"
2018-08-14,"15,657","5,33","1,46","6,98","0,40","7.173,00"
2018-08-15,"15,311","5,33","1,46","6,98","0,40","7.173,00"
2018-08-16,"15,368","5,33","1,46","6,98","0,40","7.173,00"
2018-08-17,"15,335","5,33","1,46","6,98","0,40","7.173,00"
2018-08-20,"15,420","5,33","1,46","6,98","0,40","7.173,00"
2018-08-21,"15,538","5,33","1,46","6,98","0,40","7.173,00"
2018-08-22,"15,623","5,33","1,46","6,98","0,40","7.173,00"
2018-08-23,"15,529","5,33","1,46","6,98","0,40","7.173,00"
2018-08-24,"15,609","5,33","1,46","6,98","0,40","7.173,00"
2018-08-27,"15,657","5,33","1,46","6,98","0,40","7.173,00"
2018-08-28,"15,704","5,33","1,46","6,98","0,40","7.173,00"
2018-08-29,"15,737","5,33","1,46","6,98","0,40","7.173,00"
2018-08-30,"15,770","5,33","1,46","6,98","0,40","7.173,00"
2018-08-31,"15,671","5,33","1,46","6,98","0,40","7.173,00"
2018-09-03,"15,784","5,33","1,46","6,98","0,40","7.173,00"
2018-09-04,"15,988","5,33","1,46","6,98","0,40","7.173,00"
2018-09-05,"15,642","5,33","1,46","6,98","0,40","7.173,00"
2018-09-06,"15,448","5,33","1,46","6,98","0,40","7.173,00"
2018-09-07,"15,477","5,33","1,46","6,98","0,40","7.173,00"
2018-09-10,"15,534","5,33","1,46","6,98","0,40","7.173,00"
2018-09-11,"15,841","5,33","1,46","6,98","0,40","7.173,00"
2018-09-12,"16,201","5,33","1,46","6,98","0,40","7.173,00"
2018-09-13,"16,063","5,33","1,46","6,98","0,40","7.173,00"
2018-09-14,"16,035","5,33","1,46","6,98","0,40","7.173,00"
2018-09-17,"16,016","5,33","1,46","6,98","0,40","7.173,00"
2018-09-18,"16,082","5,33","1,46","6,98","0,40","7.173,00"
2018-09-19,"16,082","5,33","1,46","6,98","0,40","7.173,00"
2018-09-20,"15,973","5,33","1,46","6,98","0,40","7.173,00"
2018-09-21,"15,590","5,33","1,46","6,98","0,40","7.173,00"
2018-09-24,"15,874","5,33","1,46","6,98","0,40","7.173,00"
2018-09-25,"16,111","5,33","1,46","6,98","0,40","7.173,00"
2018-09-26,"16,224","5,33","1,46","6,98","0,40","7.173,00"
2018-09-27,"16,271","5,33","1,46","6,98","0,40","7.173,00"
2018-09-28,"16,238","5,33","1,46","6,98","0,40","7.173,00"
2018-10-01,"16,305","5,33","1,46","6,98","0,40","7.173,00"
2018-10-02,"16,271","5,33","1,46","6,98","0,40","7.173,00"
2018-10-03,"16,229","5,33","1,46","6,98","0,40","7.173,00"
2018-10-04,"16,229","5,33","1,46","6,98","0,40","7.173,00"
2018-10-05,"16,106","5,33","1,46","6,98","0,40","7.173,00"
2018-10-08,"15,907","5,33","1,46","6,98","0,40","7.173,00"
2018-10-09,"16,120","5,33","1,46","6,98","0,40","7.173,00"
2018-10-10,"16,153","5,33","1,46","6,98","0,40","7.173,00"
2018-10-11,"15,553","5,33","1,46","6,98","0,40","7.173,00"
2018-10-12,"15,439","5,33","1,46","6,98","0,40","7.173,00"
2018-10-15,"15,496","5,33","1,46","6,98","0,40","7.173,00"
2018-10-16,"15,519","5,33","1,46","6,98","0,40","7.173,00"
2018-10-17,"15,401","5,33","1,46","6,98","0,40","7.173,00"
2018-10-18,"15,368","5,33","1,46","6,98","0,40","7.173,00"
2018-10-19,"15,150","5,33","1,46","6,98","0,40","7.173,00"
2018-10-22,"15,070","5,33","1,46","6,98","0,40","7.173,00"
2018-10-23,"14,663","5,33","1,46","6,98","0,40","7.173,00"
2018-10-24,"14,446","5,33","1,46","6,98","0,40","7.173,00"
2018-10-25,"14,238","5,33","1,46","6,98","0,40","7.173,00"
2018-10-26,"14,290","5,33","1,46","6,98","0,40","7.173,00"
2018-10-29,"14,384","5,33","1,46","6,98","0,40","7.173,00"
2018-10-30,"14,346","5,33","1,46","6,98","0,40","7.173,00"
2018-10-31,"14,971","5,33","1,46","6,98","0,40","7.173,00"
2018-11-01,"14,720","5,33","1,46","6,98","0,40","7.173,00"
2018-11-02,"14,758","5,33","1,46","6,98","0,40","7.173,00"
2018-11-05,"14,857","5,33","1,46","6,98","0,40","7.173,00"
2018-11-06,"14,791","5,33","1,46","6,98","0,40","7.173,00"
2018-11-07,"14,919","5,33","1,46","6,98","0,40","7.173,00"
2018-11-08,"14,971","5,33","1,46","6,98","0,40","7.173,00"
2018-11-09,"14,994","5,33","1,46","6,98","0,40","7.173,00"
2018-11-12,"14,947","5,33","1,46","6,98","0,40","7.173,00"
2018-11-13,"14,819","5,33","1,46","6,98","0,40","7.173,00"
2018-11-14,"14,668","5,33","1,46","6,98","0,40","7.173,00"
2018-11-15,"14,848","5,33","1,46","6,98","0,40","7.173,00"
2018-11-16,"14,810","5,33","1,46","6,98","0,40","7.173,00"
2018-11-19,"14,767","5,33","1,46","6,98","0,40","7.173,00"
2018-11-20,"14,460","5,33","1,46","6,98","0,40","7.173,00"
2018-11-21,"14,663","5,33","1,46","6,98","0,40","7.173,00"
2018-11-22,"14,436","5,33","1,46","6,98","0,40","7.173,00"
2018-11-23,"14,058","5,33","1,46","6,98","0,40","7.173,00"
2018-11-26,"14,332","5,33","1,46","6,98","0,40","7.173,00"
