fecha,AMS_ultimo,AMS_per,AMS_bpa,AMS_rentabilidad_por_dividendo,AMS_precio_valor_contable,AMS_ebitda
2019-01-14,"60,240","15,80","2,95","1,62","5,29","2.245,00"
2019-01-15,"61,820","15,80","2,95","1,62","5,29","2.245,00"
2019-01-16,"62,200","15,80","2,95","1,62","5,29","2.245,00"
2019-01-17,"62,780","15,80","2,95","1,62","5,29","2.245,00"
2019-01-18,"65,000","15,80","2,95","1,62","5,29","2.245,00"
2019-01-21,"64,500","15,80","2,95","1,62","5,29","2.245,00"
2019-01-22,"64,600","15,80","2,95","1,62","5,29","2.245,00"
2019-01-23,"65,060","15,80","2,95","1,62","5,29","2.245,00"
2019-01-24,"65,400","15,80","2,95","1,62","5,29","2.245,00"
2019-01-25,"65,700","15,80","2,95","1,62","5,29","2.245,00"
2019-01-28,"63,520","15,80","2,95","1,62","5,29","2.245,00"
2019-01-29,"64,380","15,80","2,95","1,62","5,29","2.245,00"
2019-01-30,"63,240","15,80","2,95","1,62","5,29","2.245,00"
2019-01-31,"63,480","15,80","2,95","1,62","5,29","2.245,00"
2019-02-01,"64,000","15,80","2,95","1,62","5,29","2.245,00"
2019-02-04,"64,840","15,80","2,95","1,62","5,29","2.245,00"
2019-02-05,"66,100","15,80","2,95","1,62","5,29","2.245,00"
2019-02-06,"66,700","15,80","2,95","1,62","5,29","2.245,00"
2019-02-07,"65,000","15,80","2,95","1,62","5,29","2.245,00"
2019-02-08,"64,660","15,80","2,95","1,62","5,29","2.245,00"
2019-02-11,"65,300","15,80","2,95","1,62","5,29","2.245,00"
2019-02-12,"65,780","15,80","2,95","1,62","5,29","2.245,00"
2019-02-13,"66,980","15,80","2,95","1,62","5,29","2.245,00"
2019-02-14,"68,460","15,80","2,95","1,62","5,29","2.245,00"
2019-02-15,"68,320","15,80","2,95","1,62","5,29","2.245,00"
2019-02-18,"69,000","15,80","2,95","1,62","5,29","2.245,00"
2019-02-19,"68,740","15,80","2,95","1,62","5,29","2.245,00"
2019-02-20,"68,940","15,80","2,95","1,62","5,29","2.245,00"
2019-02-21,"68,540","15,80","2,95","1,62","5,29","2.245,00"
2019-02-22,"69,320","15,80","2,95","1,62","5,29","2.245,00"
2019-02-25,"69,260","15,80","2,95","1,62","5,29","2.245,00"
2019-02-26,"69,580","15,80","2,95","1,62","5,29","2.245,00"
2019-02-27,"68,620","15,80","2,95","1,62","5,29","2.245,00"
2019-02-28,"66,200","15,80","2,95","1,62","5,29","2.245,00"
2019-03-01,"66,400","15,80","2,95","1,62","5,29","2.245,00"
2019-03-04,"65,860","15,80","2,95","1,62","5,29","2.245,00"
2019-03-05,"65,440","15,80","2,95","1,62","5,29","2.245,00"
2019-03-06,"64,940","15,80","2,95","1,62","5,29","2.245,00"
2019-03-07,"66,020","15,80","2,95","1,62","5,29","2.245,00"
2019-03-08,"66,080","15,80","2,95","1,62","5,29","2.245,00"
2019-03-11,"66,100","15,80","2,95","1,62","5,29","2.245,00"
2019-03-12,"65,360","15,80","2,95","1,62","5,29","2.245,00"
2019-03-13,"65,520","15,80","2,95","1,62","5,29","2.245,00"
2019-03-14,"65,500","15,80","2,95","1,62","5,29","2.245,00"
2019-03-15,"67,500","15,80","2,95","1,62","5,29","2.245,00"
2019-03-18,"67,480","15,80","2,95","1,62","5,29","2.245,00"
2019-03-19,"67,840","15,80","2,95","1,62","5,29","2.245,00"
2019-03-20,"68,520","15,80","2,95","1,62","5,29","2.245,00"
2019-03-21,"68,000","15,80","2,95","1,62","5,29","2.245,00"
2019-03-22,"67,280","15,80","2,95","1,62","5,29","2.245,00"
2019-03-25,"67,280","15,80","2,95","1,62","5,29","2.245,00"
2019-03-26,"68,200","15,80","2,95","1,62","5,29","2.245,00"
2019-03-27,"68,660","15,80","2,95","1,62","5,29","2.245,00"
2019-03-28,"69,680","15,80","2,95","1,62","5,29","2.245,00"
2019-03-29,"71,400","15,80","2,95","1,62","5,29","2.245,00"
2019-04-01,"71,700","15,80","2,95","1,62","5,29","2.245,00"
2019-04-02,"71,180","15,80","2,95","1,62","5,29","2.245,00"
2019-04-03,"71,600","15,80","2,95","1,62","5,29","2.245,00"
2019-04-04,"71,480","15,80","2,95","1,62","5,29","2.245,00"
2019-04-05,"71,520","15,80","2,95","1,62","5,29","2.245,00"
2019-04-08,"71,800","15,80","2,95","1,62","5,29","2.245,00"
2019-04-09,"71,400","15,80","2,95","1,62","5,29","2.245,00"
2019-04-10,"70,700","15,80","2,95","1,62","5,29","2.245,00"
2019-04-11,"69,900","15,80","2,95","1,62","5,29","2.245,00"
2019-04-12,"69,740","15,80","2,95","1,62","5,29","2.245,00"
2019-04-15,"69,700","15,80","2,95","1,62","5,29","2.245,00"
2019-04-16,"69,400","15,80","2,95","1,62","5,29","2.245,00"
2019-04-17,"68,460","15,80","2,95","1,62","5,29","2.245,00"
2019-04-18,"68,860","15,80","2,95","1,62","5,29","2.245,00"
2019-04-23,"70,380","15,80","2,95","1,62","5,29","2.245,00"
2019-04-24,"70,200","15,80","2,95","1,62","5,29","2.245,00"
2019-04-25,"71,000","15,80","2,95","1,62","5,29","2.245,00"
2019-04-26,"70,440","15,80","2,95","1,62","5,29","2.245,00"
2019-04-29,"70,280","15,80","2,95","1,62","5,29","2.245,00"
2019-04-30,"70,920","15,80","2,95","1,62","5,29","2.245,00"
2019-05-02,"67,940","15,80","2,95","1,62","5,29","2.245,00"
2019-05-03,"67,620","15,80","2,95","1,62","5,29","2.245,00"
2019-05-06,"66,500","15,80","2,95","1,62","5,29","2.245,00"
2019-05-07,"65,340","15,80","2,95","1,62","5,29","2.245,00"
2019-05-08,"67,620","15,80","2,95","1,62","5,29","2.245,00"
2019-05-09,"65,940","15,80","2,95","1,62","5,29","2.245,00"
2019-05-10,"66,340","15,80","2,95","1,62","5,29","2.245,00"
2019-05-13,"65,580","15,80","2,95","1,62","5,29","2.245,00"
2019-05-14,"68,080","15,80","2,95","1,62","5,29","2.245,00"
2019-05-15,"68,740","15,80","2,95","1,62","5,29","2.245,00"
2019-05-16,"70,240","15,80","2,95","1,62","5,29","2.245,00"
2019-05-17,"70,820","15,80","2,95","1,62","5,29","2.245,00"
2019-05-20,"69,780","15,80","2,95","1,62","5,29","2.245,00"
2019-05-21,"69,720","15,80","2,95","1,62","5,29","2.245,00"
2019-05-22,"71,220","15,80","2,95","1,62","5,29","2.245,00"
2019-05-23,"70,060","15,80","2,95","1,62","5,29","2.245,00"
2019-05-24,"69,960","15,80","2,95","1,62","5,29","2.245,00"
2019-05-27,"69,900","15,80","2,95","1,62","5,29","2.245,00"
2019-05-28,"68,980","15,80","2,95","1,62","5,29","2.245,00"
2019-05-29,"67,460","15,80","2,95","1,62","5,29","2.245,00"
2019-05-30,"68,940","15,80","2,95","1,62","5,29","2.245,00"
2019-05-31,"68,360","15,80","2,95","1,62","5,29","2.245,00"
2019-06-03,"68,160","15,80","2,95","1,62","5,29","2.245,00"
2019-06-04,"68,000","15,80","2,95","1,62","5,29","2.245,00"
2019-06-05,"68,580","15,80","2,95","1,62","5,29","2.245,00"
2019-06-06,"69,400","15,80","2,95","1,62","5,29","2.245,00"
2019-06-07,"71,400","15,80","2,95","1,62","5,29","2.245,00"
2019-06-10,"71,360","15,80","2,95","1,62","5,29","2.245,00"
2019-06-11,"71,300","15,80","2,95","1,62","5,29","2.245,00"
2019-06-12,"69,340","15,80","2,95","1,62","5,29","2.245,00"
2019-06-13,"69,680","15,80","2,95","1,62","5,29","2.245,00"
2019-06-14,"68,100","15,80","2,95","1,62","5,29","2.245,00"
2019-06-17,"67,280","15,80","2,95","1,62","5,29","2.245,00"
2019-06-18,"68,940","15,80","2,95","1,62","5,29","2.245,00"
2019-06-19,"68,480","15,80","2,95","1,62","5,29","2.245,00"
2019-06-20,"69,660","15,80","2,95","1,62","5,29","2.245,00"
2019-06-21,"69,580","15,80","2,95","1,62","5,29","2.245,00"
2019-06-24,"68,340","15,80","2,95","1,62","5,29","2.245,00"
2019-06-25,"67,980","15,80","2,95","1,62","5,29","2.245,00"
2019-06-26,"68,260","15,80","2,95","1,62","5,29","2.245,00"
2019-06-27,"68,700","15,80","2,95","1,62","5,29","2.245,00"
2019-06-28,"69,660","15,80","2,95","1,62","5,29","2.245,00"
2019-07-01,"71,440","15,80","2,95","1,62","5,29","2.245,00"
2019-07-02,"71,140","15,80","2,95","1,62","5,29","2.245,00"
2019-07-03,"71,280","15,80","2,95","1,62","5,29","2.245,00"
2019-07-04,"71,400","15,80","2,95","1,62","5,29","2.245,00"
2019-07-05,"70,720","15,80","2,95","1,62","5,29","2.245,00"
2019-07-08,"71,440","15,80","2,95","1,62","5,29","2.245,00"
2019-07-09,"72,080","15,80","2,95","1,62","5,29","2.245,00"
2019-07-10,"70,860","15,80","2,95","1,62","5,29","2.245,00"
2019-07-11,"71,640","15,80","2,95","1,62","5,29","2.245,00"
2019-07-12,"71,720","15,80","2,95","1,62","5,29","2.245,00"
2019-07-15,"72,440","15,80","2,95","1,62","5,29","2.245,00"
2019-07-16,"73,600","15,80","2,95","1,62","5,29","2.245,00"
2019-07-17,"73,540","15,80","2,95","1,62","5,29","2.245,00"
2019-07-18,"72,040","15,80","2,95","1,62","5,29","2.245,00"
2019-07-19,"72,020","15,80","2,95","1,62","5,29","2.245,00"
2019-07-22,"73,340","15,80","2,95","1,62","5,29","2.245,00"
2019-07-23,"73,340","15,80","2,95","1,62","5,29","2.245,00"
2019-07-24,"73,880","15,80","2,95","1,62","5,29","2.245,00"
2019-07-25,"72,960","15,80","2,95","1,62","5,29","2.245,00"
2019-07-26,"73,140","15,80","2,95","1,62","5,29","2.245,00"
2019-07-29,"72,920","15,80","2,95","1,62","5,29","2.245,00"
2019-07-30,"71,420","15,80","2,95","1,62","5,29","2.245,00"
2019-07-31,"71,360","15,80","2,95","1,62","5,29","2.245,00"
2019-08-01,"72,060","15,80","2,95","1,62","5,29","2.245,00"
2019-08-02,"69,940","15,80","2,95","1,62","5,29","2.245,00"
2019-08-05,"68,740","15,80","2,95","1,62","5,29","2.245,00"
2019-08-06,"67,580","15,80","2,95","1,62","5,29","2.245,00"
2019-08-07,"68,180","15,80","2,95","1,62","5,29","2.245,00"
2019-08-08,"69,800","15,80","2,95","1,62","5,29","2.245,00"
2019-08-09,"68,940","15,80","2,95","1,62","5,29","2.245,00"
2019-08-12,"68,740","15,80","2,95","1,62","5,29","2.245,00"
2019-08-13,"67,940","15,80","2,95","1,62","5,29","2.245,00"
2019-08-14,"66,240","15,80","2,95","1,62","5,29","2.245,00"
2019-08-15,"66,160","15,80","2,95","1,62","5,29","2.245,00"
2019-08-16,"67,240","15,80","2,95","1,62","5,29","2.245,00"
2019-08-19,"68,280","15,80","2,95","1,62","5,29","2.245,00"
2019-08-20,"67,180","15,80","2,95","1,62","5,29","2.245,00"
2019-08-21,"68,540","15,80","2,95","1,62","5,29","2.245,00"
2019-08-22,"67,240","15,80","2,95","1,62","5,29","2.245,00"
2019-08-23,"66,900","15,80","2,95","1,62","5,29","2.245,00"
2019-08-26,"66,420","15,80","2,95","1,62","5,29","2.245,00"
2019-08-27,"67,040","15,80","2,95","1,62","5,29","2.245,00"
2019-08-28,"66,620","15,80","2,95","1,62","5,29","2.245,00"
2019-08-29,"67,160","15,80","2,95","1,62","5,29","2.245,00"
2019-08-30,"67,760","15,80","2,95","1,62","5,29","2.245,00"
2019-09-02,"67,180","15,80","2,95","1,62","5,29","2.245,00"
2019-09-03,"67,000","15,80","2,95","1,62","5,29","2.245,00"
2019-09-04,"67,400","15,80","2,95","1,62","5,29","2.245,00"
2019-09-05,"68,080","15,80","2,95","1,62","5,29","2.245,00"
2019-09-06,"68,520","15,80","2,95","1,62","5,29","2.245,00"
2019-09-09,"67,460","15,80","2,95","1,62","5,29","2.245,00"
2019-09-10,"67,180","15,80","2,95","1,62","5,29","2.245,00"
2019-09-11,"67,340","15,80","2,95","1,62","5,29","2.245,00"
2019-09-12,"67,500","15,80","2,95","1,62","5,29","2.245,00"
2019-09-13,"67,200","15,80","2,95","1,62","5,29","2.245,00"
2019-09-16,"66,180","15,80","2,95","1,62","5,29","2.245,00"
2019-09-17,"66,500","15,80","2,95","1,62","5,29","2.245,00"
2019-09-18,"66,800","15,80","2,95","1,62","5,29","2.245,00"
2019-09-19,"66,600","15,80","2,95","1,62","5,29","2.245,00"
2019-09-20,"68,000","15,80","2,95","1,62","5,29","2.245,00"
2019-09-23,"65,480","15,80","2,95","1,62","5,29","2.245,00"
2019-09-24,"66,300","15,80","2,95","1,62","5,29","2.245,00"
2019-09-25,"65,280","15,80","2,95","1,62","5,29","2.245,00"
2019-09-26,"65,280","15,80","2,95","1,62","5,29","2.245,00"
2019-09-27,"65,800","15,80","2,95","1,62","5,29","2.245,00"
2019-09-30,"65,720","15,80","2,95","1,62","5,29","2.245,00"
2019-10-01,"64,720","15,80","2,95","1,62","5,29","2.245,00"
2019-10-02,"61,940","15,80","2,95","1,62","5,29","2.245,00"
2019-10-03,"62,580","15,80","2,95","1,62","5,29","2.245,00"
2019-10-04,"63,520","15,80","2,95","1,62","5,29","2.245,00"
2019-10-07,"64,300","15,80","2,95","1,62","5,29","2.245,00"
2019-10-08,"64,060","15,80","2,95","1,62","5,29","2.245,00"
2019-10-09,"64,760","15,80","2,95","1,62","5,29","2.245,00"
2019-10-10,"65,840","15,80","2,95","1,62","5,29","2.245,00"
2019-10-11,"66,820","15,80","2,95","1,62","5,29","2.245,00"
2019-10-14,"65,940","15,80","2,95","1,62","5,29","2.245,00"
2019-10-15,"66,880","15,80","2,95","1,62","5,29","2.245,00"
2019-10-16,"67,100","15,80","2,95","1,62","5,29","2.245,00"
2019-10-17,"66,740","15,80","2,95","1,62","5,29","2.245,00"
2019-10-18,"65,500","15,80","2,95","1,62","5,29","2.245,00"
2019-10-21,"66,180","15,80","2,95","1,62","5,29","2.245,00"
2019-10-22,"65,400","15,80","2,95","1,62","5,29","2.245,00"
2019-10-23,"65,360","15,80","2,95","1,62","5,29","2.245,00"
2019-10-24,"66,320","15,80","2,95","1,62","5,29","2.245,00"
2019-10-25,"67,060","15,80","2,95","1,62","5,29","2.245,00"
2019-10-28,"67,120","15,80","2,95","1,62","5,29","2.245,00"
2019-10-29,"66,540","15,80","2,95","1,62","5,29","2.245,00"
2019-10-30,"66,020","15,80","2,95","1,62","5,29","2.245,00"
2019-10-31,"66,340","15,80","2,95","1,62","5,29","2.245,00"
2019-11-01,"67,180","15,80","2,95","1,62","5,29","2.245,00"
2019-11-04,"67,640","15,80","2,95","1,62","5,29","2.245,00"
2019-11-05,"66,980","15,80","2,95","1,62","5,29","2.245,00"
2019-11-06,"68,580","15,80","2,95","1,62","5,29","2.245,00"
2019-11-07,"71,080","15,80","2,95","1,62","5,29","2.245,00"
2019-11-08,"71,460","15,80","2,95","1,62","5,29","2.245,00"
2019-11-11,"71,540","15,80","2,95","1,62","5,29","2.245,00"
2019-11-12,"71,080","15,80","2,95","1,62","5,29","2.245,00"
2019-11-13,"71,800","15,80","2,95","1,62","5,29","2.245,00"
2019-11-14,"71,820","15,80","2,95","1,62","5,29","2.245,00"
2019-11-15,"71,980","15,80","2,95","1,62","5,29","2.245,00"
2019-11-18,"71,700","15,80","2,95","1,62","5,29","2.245,00"
2019-11-19,"71,880","15,80","2,95","1,62","5,29","2.245,00"
2019-11-20,"71,560","15,80","2,95","1,62","5,29","2.245,00"
2019-11-21,"70,960","15,80","2,95","1,62","5,29","2.245,00"
2019-11-22,"70,960","15,80","2,95","1,62","5,29","2.245,00"
2019-11-25,"71,460","15,80","2,95","1,62","5,29","2.245,00"
2019-11-26,"71,900","15,80","2,95","1,62","5,29","2.245,00"
2019-11-27,"72,160","15,80","2,95","1,62","5,29","2.245,00"
2019-11-28,"72,040","15,80","2,95","1,62","5,29","2.245,00"
2019-11-29,"72,300","15,80","2,95","1,62","5,29","2.245,00"
2019-12-02,"71,420","15,80","2,95","1,62","5,29","2.245,00"
2019-12-03,"71,860","15,80","2,95","1,62","5,29","2.245,00"
2019-12-04,"72,300","15,80","2,95","1,62","5,29","2.245,00"
2019-12-05,"72,160","15,80","2,95","1,62","5,29","2.245,00"
2019-12-06,"72,760","15,80","2,95","1,62","5,29","2.245,00"
2019-12-09,"72,480","15,80","2,95","1,62","5,29","2.245,00"
2019-12-10,"72,180","15,80","2,95","1,62","5,29","2.245,00"
2019-12-11,"71,760","15,80","2,95","1,62","5,29","2.245,00"
2019-12-12,"71,520","15,80","2,95","1,62","5,29","2.245,00"
2019-12-13,"72,660","15,80","2,95","1,62","5,29","2.245,00"
2019-12-16,"72,780","15,80","2,95","1,62","5,29","2.245,00"
2019-12-17,"73,140","15,80","2,95","1,62","5,29","2.245,00"
2019-12-18,"72,860","15,80","2,95","1,62","5,29","2.245,00"
2019-12-19,"72,480","15,80","2,95","1,62","5,29","2.245,00"
2019-12-20,"72,200","15,80","2,95","1,62","5,29","2.245,00"
2019-12-23,"72,760","15,80","2,95","1,62","5,29","2.245,00"
2019-12-24,"73,700","15,80","2,95","1,62","5,29","2.245,00"
2019-12-27,"73,640","15,80","2,95","1,62","5,29","2.245,00"
2019-12-30,"72,920","15,80","2,95","1,62","5,29","2.245,00"
2019-12-31,"72,800","15,80","2,95","1,62","5,29","2.245,00"
2020-01-02,"72,900","215,51","0,22","2,61","4,75","794,00"
2020-01-03,"73,260","215,51","0,22","2,61","4,75","794,00"
2020-01-06,"72,600","215,51","0,22","2,61","4,75","794,00"
