fecha,AENA_ultimo,AENA_per,AENA_bpa,AENA_rentabilidad_por_dividendo,AENA_precio_valor_contable,AENA_ebitda
2019-01-04,"140,50","12,42","9,61","4,00","2,80","2.772,00"
2019-01-07,"139,15","12,42","9,61","4,00","2,80","2.772,00"
2019-01-08,"140,00","12,42","9,61","4,00","2,80","2.772,00"
2019-01-09,"138,50","12,42","9,61","4,00","2,80","2.772,00"
2019-01-10,"139,25","12,42","9,61","4,00","2,80","2.772,00"
2019-01-11,"139,45","12,42","9,61","4,00","2,80","2.772,00"
2019-01-14,"138,50","12,42","9,61","4,00","2,80","2.772,00"
2019-01-15,"138,95","12,42","9,61","4,00","2,80","2.772,00"
2019-01-16,"142,50","12,42","9,61","4,00","2,80","2.772,00"
2019-01-17,"141,35","12,42","9,61","4,00","2,80","2.772,00"
2019-01-18,"142,90","12,42","9,61","4,00","2,80","2.772,00"
2019-01-21,"144,75","12,42","9,61","4,00","2,80","2.772,00"
2019-01-22,"147,05","12,42","9,61","4,00","2,80","2.772,00"
2019-01-23,"148,75","12,42","9,61","4,00","2,80","2.772,00"
2019-01-24,"150,60","12,42","9,61","4,00","2,80","2.772,00"
2019-01-25,"150,30","12,42","9,61","4,00","2,80","2.772,00"
2019-01-28,"147,40","12,42","9,61","4,00","2,80","2.772,00"
2019-01-29,"147,75","12,42","9,61","4,00","2,80","2.772,00"
2019-01-30,"148,75","12,42","9,61","4,00","2,80","2.772,00"
2019-01-31,"150,80","12,42","9,61","4,00","2,80","2.772,00"
2019-02-01,"151,05","12,42","9,61","4,00","2,80","2.772,00"
2019-02-04,"150,20","12,42","9,61","4,00","2,80","2.772,00"
2019-02-05,"151,80","12,42","9,61","4,00","2,80","2.772,00"
2019-02-06,"150,25","12,42","9,61","4,00","2,80","2.772,00"
2019-02-07,"149,25","12,42","9,61","4,00","2,80","2.772,00"
2019-02-08,"147,70","12,42","9,61","4,00","2,80","2.772,00"
2019-02-11,"147,80","12,42","9,61","4,00","2,80","2.772,00"
2019-02-12,"149,60","12,42","9,61","4,00","2,80","2.772,00"
2019-02-13,"149,35","12,42","9,61","4,00","2,80","2.772,00"
2019-02-14,"150,35","12,42","9,61","4,00","2,80","2.772,00"
2019-02-15,"153,55","12,42","9,61","4,00","2,80","2.772,00"
2019-02-18,"153,85","12,42","9,61","4,00","2,80","2.772,00"
2019-02-19,"153,90","12,42","9,61","4,00","2,80","2.772,00"
2019-02-20,"154,00","12,42","9,61","4,00","2,80","2.772,00"
2019-02-21,"155,40","12,42","9,61","4,00","2,80","2.772,00"
2019-02-22,"155,80","12,42","9,61","4,00","2,80","2.772,00"
2019-02-25,"156,00","12,42","9,61","4,00","2,80","2.772,00"
2019-02-26,"157,80","12,42","9,61","4,00","2,80","2.772,00"
2019-02-27,"155,50","12,42","9,61","4,00","2,80","2.772,00"
2019-02-28,"156,90","12,42","9,61","4,00","2,80","2.772,00"
2019-03-01,"155,95","12,42","9,61","4,00","2,80","2.772,00"
2019-03-04,"157,35","12,42","9,61","4,00","2,80","2.772,00"
2019-03-05,"159,30","12,42","9,61","4,00","2,80","2.772,00"
2019-03-06,"158,80","12,42","9,61","4,00","2,80","2.772,00"
2019-03-07,"158,50","12,42","9,61","4,00","2,80","2.772,00"
2019-03-08,"158,50","12,42","9,61","4,00","2,80","2.772,00"
2019-03-11,"157,80","12,42","9,61","4,00","2,80","2.772,00"
2019-03-12,"158,95","12,42","9,61","4,00","2,80","2.772,00"
2019-03-13,"158,50","12,42","9,61","4,00","2,80","2.772,00"
