fecha,CABK_ultimo,CABK_per,CABK_bpa,CABK_rentabilidad_por_dividendo,CABK_precio_valor_contable,CABK_ebitda
2018-04-05,"3,930","5,77","0,32","5,01","0,46","0,00"
2018-04-06,"3,870","5,77","0,32","5,01","0,46","0,00"
2018-04-09,"3,920","5,77","0,32","5,01","0,46","0,00"
2018-04-10,"3,980","5,77","0,32","5,01","0,46","0,00"
2018-04-11,"3,920","5,77","0,32","5,01","0,46","0,00"
2018-04-12,"3,940","5,77","0,32","5,01","0,46","0,00"
2018-04-13,"3,950","5,77","0,32","5,01","0,46","0,00"
2018-04-16,"3,970","5,77","0,32","5,01","0,46","0,00"
2018-04-17,"3,980","5,77","0,32","5,01","0,46","0,00"
2018-04-18,"4,010","5,77","0,32","5,01","0,46","0,00"
2018-04-19,"4,020","5,77","0,32","5,01","0,46","0,00"
2018-04-20,"4,000","5,77","0,32","5,01","0,46","0,00"
2018-04-23,"4,060","5,77","0,32","5,01","0,46","0,00"
2018-04-24,"4,010","5,77","0,32","5,01","0,46","0,00"
2018-04-25,"4,000","5,77","0,32","5,01","0,46","0,00"
2018-04-26,"3,960","5,77","0,32","5,01","0,46","0,00"
2018-04-27,"4,030","5,77","0,32","5,01","0,46","0,00"
2018-04-30,"4,040","5,77","0,32","5,01","0,46","0,00"
2018-05-02,"4,170","5,77","0,32","5,01","0,46","0,00"
2018-05-03,"4,080","5,77","0,32","5,01","0,46","0,00"
2018-05-04,"4,160","5,77","0,32","5,01","0,46","0,00"
2018-05-07,"4,200","5,77","0,32","5,01","0,46","0,00"
2018-05-08,"4,230","5,77","0,32","5,01","0,46","0,00"
2018-05-09,"4,220","5,77","0,32","5,01","0,46","0,00"
2018-05-10,"4,270","5,77","0,32","5,01","0,46","0,00"
2018-05-11,"4,300","5,77","0,32","5,01","0,46","0,00"
2018-05-14,"4,320","5,77","0,32","5,01","0,46","0,00"
2018-05-15,"4,290","5,77","0,32","5,01","0,46","0,00"
2018-05-16,"4,140","5,77","0,32","5,01","0,46","0,00"
2018-05-17,"4,180","5,77","0,32","5,01","0,46","0,00"
2018-05-18,"4,110","5,77","0,32","5,01","0,46","0,00"
2018-05-21,"4,100","5,77","0,32","5,01","0,46","0,00"
2018-05-22,"4,200","5,77","0,32","5,01","0,46","0,00"
2018-05-23,"4,160","5,77","0,32","5,01","0,46","0,00"
2018-05-24,"4,060","5,77","0,32","5,01","0,46","0,00"
2018-05-25,"3,910","5,77","0,32","5,01","0,46","0,00"
2018-05-28,"3,870","5,77","0,32","5,01","0,46","0,00"
2018-05-29,"3,690","5,77","0,32","5,01","0,46","0,00"
2018-05-30,"3,730","5,77","0,32","5,01","0,46","0,00"
2018-05-31,"3,640","5,77","0,32","5,01","0,46","0,00"
2018-06-01,"3,730","5,77","0,32","5,01","0,46","0,00"
2018-06-04,"3,720","5,77","0,32","5,01","0,46","0,00"
2018-06-05,"3,660","5,77","0,32","5,01","0,46","0,00"
2018-06-06,"3,690","5,77","0,32","5,01","0,46","0,00"
2018-06-07,"3,850","5,77","0,32","5,01","0,46","0,00"
2018-06-08,"3,850","5,77","0,32","5,01","0,46","0,00"
2018-06-11,"3,960","5,77","0,32","5,01","0,46","0,00"
2018-06-12,"3,960","5,77","0,32","5,01","0,46","0,00"
2018-06-13,"3,930","5,77","0,32","5,01","0,46","0,00"
2018-06-14,"3,860","5,77","0,32","5,01","0,46","0,00"
