fecha,SAN_ultimo,SAN_per,SAN_bpa,SAN_rentabilidad_por_dividendo,SAN_precio_valor_contable,SAN_ebitda
2018-07-10,"4,721","4,56","0,46","5,89","0,36","0,00"
2018-07-11,"4,613","4,56","0,46","5,89","0,36","0,00"
2018-07-12,"4,632","4,56","0,46","5,89","0,36","0,00"
2018-07-13,"4,591","4,56","0,46","5,89","0,36","0,00"
2018-07-16,"4,602","4,56","0,46","5,89","0,36","0,00"
2018-07-17,"4,581","4,56","0,46","5,89","0,36","0,00"
2018-07-18,"4,618","4,56","0,46","5,89","0,36","0,00"
2018-07-19,"4,623","4,56","0,46","5,89","0,36","0,00"
2018-07-20,"4,617","4,56","0,46","5,89","0,36","0,00"
2018-07-23,"4,636","4,56","0,46","5,89","0,36","0,00"
2018-07-24,"4,715","4,56","0,46","5,89","0,36","0,00"
2018-07-25,"4,688","4,56","0,46","5,89","0,36","0,00"
2018-07-26,"4,734","4,56","0,46","5,89","0,36","0,00"
2018-07-27,"4,788","4,56","0,46","5,89","0,36","0,00"
2018-07-30,"4,736","4,56","0,46","5,89","0,36","0,00"
2018-07-31,"4,790","4,56","0,46","5,89","0,36","0,00"
2018-08-01,"4,724","4,56","0,46","5,89","0,36","0,00"
2018-08-02,"4,651","4,56","0,46","5,89","0,36","0,00"
2018-08-03,"4,662","4,56","0,46","5,89","0,36","0,00"
2018-08-06,"4,651","4,56","0,46","5,89","0,36","0,00"
2018-08-07,"4,699","4,56","0,46","5,89","0,36","0,00"
2018-08-08,"4,665","4,56","0,46","5,89","0,36","0,00"
2018-08-09,"4,639","4,56","0,46","5,89","0,36","0,00"
2018-08-10,"4,512","4,56","0,46","5,89","0,36","0,00"
2018-08-13,"4,403","4,56","0,46","5,89","0,36","0,00"
2018-08-14,"4,391","4,56","0,46","5,89","0,36","0,00"
2018-08-15,"4,309","4,56","0,46","5,89","0,36","0,00"
2018-08-16,"4,343","4,56","0,46","5,89","0,36","0,00"
2018-08-17,"4,313","4,56","0,46","5,89","0,36","0,00"
2018-08-20,"4,323","4,56","0,46","5,89","0,36","0,00"
2018-08-21,"4,373","4,56","0,46","5,89","0,36","0,00"
2018-08-22,"4,326","4,56","0,46","5,89","0,36","0,00"
2018-08-23,"4,330","4,56","0,46","5,89","0,36","0,00"
2018-08-24,"4,323","4,56","0,46","5,89","0,36","0,00"
2018-08-27,"4,358","4,56","0,46","5,89","0,36","0,00"
2018-08-28,"4,335","4,56","0,46","5,89","0,36","0,00"
2018-08-29,"4,338","4,56","0,46","5,89","0,36","0,00"
2018-08-30,"4,255","4,56","0,46","5,89","0,36","0,00"
2018-08-31,"4,261","4,56","0,46","5,89","0,36","0,00"
2018-09-03,"4,240","4,56","0,46","5,89","0,36","0,00"
2018-09-04,"4,260","4,56","0,46","5,89","0,36","0,00"
2018-09-05,"4,247","4,56","0,46","5,89","0,36","0,00"
2018-09-06,"4,202","4,56","0,46","5,89","0,36","0,00"
2018-09-07,"4,152","4,56","0,46","5,89","0,36","0,00"
2018-09-10,"4,228","4,56","0,46","5,89","0,36","0,00"
2018-09-11,"4,215","4,56","0,46","5,89","0,36","0,00"
2018-09-12,"4,211","4,56","0,46","5,89","0,36","0,00"
2018-09-13,"4,241","4,56","0,46","5,89","0,36","0,00"
2018-09-14,"4,256","4,56","0,46","5,89","0,36","0,00"
2018-09-17,"4,304","4,56","0,46","5,89","0,36","0,00"
2018-09-18,"4,359","4,56","0,46","5,89","0,36","0,00"
2018-09-19,"4,448","4,56","0,46","5,89","0,36","0,00"
2018-09-20,"4,525","4,56","0,46","5,89","0,36","0,00"
2018-09-21,"4,544","4,56","0,46","5,89","0,36","0,00"
2018-09-24,"4,451","4,56","0,46","5,89","0,36","0,00"
2018-09-25,"4,448","4,56","0,46","5,89","0,36","0,00"
2018-09-26,"4,457","4,56","0,46","5,89","0,36","0,00"
2018-09-27,"4,453","4,56","0,46","5,89","0,36","0,00"
2018-09-28,"4,309","4,56","0,46","5,89","0,36","0,00"
2018-10-01,"4,265","4,56","0,46","5,89","0,36","0,00"
2018-10-02,"4,233","4,56","0,46","5,89","0,36","0,00"
2018-10-03,"4,310","4,56","0,46","5,89","0,36","0,00"
2018-10-04,"4,324","4,56","0,46","5,89","0,36","0,00"
2018-10-05,"4,289","4,56","0,46","5,89","0,36","0,00"
2018-10-08,"4,306","4,56","0,46","5,89","0,36","0,00"
2018-10-09,"4,348","4,56","0,46","5,89","0,36","0,00"
2018-10-10,"4,336","4,56","0,46","5,89","0,36","0,00"
2018-10-11,"4,234","4,56","0,46","5,89","0,36","0,00"
2018-10-12,"4,196","4,56","0,46","5,89","0,36","0,00"
2018-10-15,"4,204","4,56","0,46","5,89","0,36","0,00"
2018-10-16,"4,273","4,56","0,46","5,89","0,36","0,00"
2018-10-17,"4,234","4,56","0,46","5,89","0,36","0,00"
2018-10-18,"4,138","4,56","0,46","5,89","0,36","0,00"
2018-10-19,"4,125","4,56","0,46","5,89","0,36","0,00"
2018-10-22,"4,101","4,56","0,46","5,89","0,36","0,00"
2018-10-23,"4,038","4,56","0,46","5,89","0,36","0,00"
2018-10-24,"3,981","4,56","0,46","5,89","0,36","0,00"
2018-10-25,"4,070","4,56","0,46","5,89","0,36","0,00"
2018-10-26,"4,021","4,56","0,46","5,89","0,36","0,00"
2018-10-29,"4,123","4,56","0,46","5,89","0,36","0,00"
2018-10-30,"4,109","4,56","0,46","5,89","0,36","0,00"
2018-10-31,"4,195","4,56","0,46","5,89","0,36","0,00"
2018-11-01,"4,233","4,56","0,46","5,89","0,36","0,00"
2018-11-02,"4,284","4,56","0,46","5,89","0,36","0,00"
2018-11-05,"4,257","4,56","0,46","5,89","0,36","0,00"
2018-11-06,"4,208","4,56","0,46","5,89","0,36","0,00"
2018-11-07,"4,310","4,56","0,46","5,89","0,36","0,00"
2018-11-08,"4,306","4,56","0,46","5,89","0,36","0,00"
2018-11-09,"4,239","4,56","0,46","5,89","0,36","0,00"
2018-11-12,"4,197","4,56","0,46","5,89","0,36","0,00"
2018-11-13,"4,290","4,56","0,46","5,89","0,36","0,00"
2018-11-14,"4,279","4,56","0,46","5,89","0,36","0,00"
2018-11-15,"4,231","4,56","0,46","5,89","0,36","0,00"
2018-11-16,"4,220","4,56","0,46","5,89","0,36","0,00"
2018-11-19,"4,203","4,56","0,46","5,89","0,36","0,00"
2018-11-20,"4,080","4,56","0,46","5,89","0,36","0,00"
2018-11-21,"4,153","4,56","0,46","5,89","0,36","0,00"
2018-11-22,"4,085","4,56","0,46","5,89","0,36","0,00"
2018-11-23,"4,088","4,56","0,46","5,89","0,36","0,00"
2018-11-26,"4,205","4,56","0,46","5,89","0,36","0,00"
2018-11-27,"4,199","4,56","0,46","5,89","0,36","0,00"
2018-11-28,"4,224","4,56","0,46","5,89","0,36","0,00"
2018-11-29,"4,213","4,56","0,46","5,89","0,36","0,00"
2018-11-30,"4,185","4,56","0,46","5,89","0,36","0,00"
2018-12-03,"4,272","4,56","0,46","5,89","0,36","0,00"
2018-12-04,"4,168","4,56","0,46","5,89","0,36","0,00"
2018-12-05,"4,139","4,56","0,46","5,89","0,36","0,00"
2018-12-06,"3,980","4,56","0,46","5,89","0,36","0,00"
2018-12-07,"3,979","4,56","0,46","5,89","0,36","0,00"
2018-12-10,"3,873","4,56","0,46","5,89","0,36","0,00"
2018-12-11,"3,879","4,56","0,46","5,89","0,36","0,00"
2018-12-12,"4,011","4,56","0,46","5,89","0,36","0,00"
2018-12-13,"4,071","4,56","0,46","5,89","0,36","0,00"
2018-12-14,"4,059","4,56","0,46","5,89","0,36","0,00"
2018-12-17,"4,027","4,56","0,46","5,89","0,36","0,00"
2018-12-18,"3,990","4,56","0,46","5,89","0,36","0,00"
2018-12-19,"4,042","4,56","0,46","5,89","0,36","0,00"
2018-12-20,"3,978","4,56","0,46","5,89","0,36","0,00"
2018-12-21,"3,930","4,56","0,46","5,89","0,36","0,00"
2018-12-24,"3,892","4,56","0,46","5,89","0,36","0,00"
2018-12-27,"3,862","4,56","0,46","5,89","0,36","0,00"
2018-12-28,"3,945","4,56","0,46","5,89","0,36","0,00"
2018-12-31,"3,973","4,56","0,46","5,89","0,36","0,00"
2019-01-02,"3,978","4,54","0,47","6,15","0,35","0,00"
2019-01-03,"4,010","4,54","0,47","6,15","0,35","0,00"
2019-01-04,"4,160","4,54","0,47","6,15","0,35","0,00"
2019-01-07,"4,183","4,54","0,47","6,15","0,35","0,00"
2019-01-08,"4,218","4,54","0,47","6,15","0,35","0,00"
2019-01-09,"4,199","4,54","0,47","6,15","0,35","0,00"
2019-01-10,"4,276","4,54","0,47","6,15","0,35","0,00"
2019-01-11,"4,283","4,54","0,47","6,15","0,35","0,00"
2019-01-14,"4,245","4,54","0,47","6,15","0,35","0,00"
2019-01-15,"4,263","4,54","0,47","6,15","0,35","0,00"
2019-01-16,"4,306","4,54","0,47","6,15","0,35","0,00"
2019-01-17,"4,257","4,54","0,47","6,15","0,35","0,00"
2019-01-18,"4,356","4,54","0,47","6,15","0,35","0,00"
2019-01-21,"4,345","4,54","0,47","6,15","0,35","0,00"
2019-01-22,"4,309","4,54","0,47","6,15","0,35","0,00"
2019-01-23,"4,355","4,54","0,47","6,15","0,35","0,00"
2019-01-24,"4,335","4,54","0,47","6,15","0,35","0,00"
2019-01-25,"4,418","4,54","0,47","6,15","0,35","0,00"
2019-01-28,"4,344","4,54","0,47","6,15","0,35","0,00"
2019-01-29,"4,340","4,54","0,47","6,15","0,35","0,00"
2019-01-30,"4,199","4,54","0,47","6,15","0,35","0,00"
2019-01-31,"4,132","4,54","0,47","6,15","0,35","0,00"
2019-02-01,"4,069","4,54","0,47","6,15","0,35","0,00"
2019-02-04,"4,031","4,54","0,47","6,15","0,35","0,00"
2019-02-05,"4,105","4,54","0,47","6,15","0,35","0,00"
2019-02-06,"4,124","4,54","0,47","6,15","0,35","0,00"
2019-02-07,"3,994","4,54","0,47","6,15","0,35","0,00"
2019-02-08,"3,963","4,54","0,47","6,15","0,35","0,00"
2019-02-11,"4,011","4,54","0,47","6,15","0,35","0,00"
2019-02-12,"4,005","4,54","0,47","6,15","0,35","0,00"
2019-02-13,"4,007","4,54","0,47","6,15","0,35","0,00"
2019-02-14,"3,970","4,54","0,47","6,15","0,35","0,00"
2019-02-15,"4,100","4,54","0,47","6,15","0,35","0,00"
2019-02-18,"4,120","4,54","0,47","6,15","0,35","0,00"
2019-02-19,"4,084","4,54","0,47","6,15","0,35","0,00"
2019-02-20,"4,141","4,54","0,47","6,15","0,35","0,00"
2019-02-21,"4,146","4,54","0,47","6,15","0,35","0,00"
2019-02-22,"4,128","4,54","0,47","6,15","0,35","0,00"
2019-02-25,"4,189","4,54","0,47","6,15","0,35","0,00"
2019-02-26,"4,184","4,54","0,47","6,15","0,35","0,00"
2019-02-27,"4,200","4,54","0,47","6,15","0,35","0,00"
2019-02-28,"4,296","4,54","0,47","6,15","0,35","0,00"
2019-03-01,"4,255","4,54","0,47","6,15","0,35","0,00"
2019-03-04,"4,242","4,54","0,47","6,15","0,35","0,00"
2019-03-05,"4,244","4,54","0,47","6,15","0,35","0,00"
