ultimo,apertura,maximo,minimo,vol,variacion
9365.3,9359.4,9378.3,9324.2,132.23,0.39
9329.2,9308.0,9387.1,9296.7,159.38,0.24
9306.8,9286.5,9319.7,9248.7,130.32,0.24
9284.1,9301.1,9302.5,9211.8,122.17,0.14
9270.8,9173.0,9300.9,9161.0,144.74,1.09
9171.2,9209.2,9237.9,9111.1,162.08,-0.41
9208.7,9267.7,9291.8,9208.2,160.95,-1.0
9301.3,9353.2,9377.6,9301.3,180.7,-0.8
9376.3,9414.7,9436.1,9308.7,159.84,0.0
9376.1,9387.7,9421.6,9356.1,89.35,-0.24
9399.1,9466.3,9470.6,9375.1,172.66,-0.72
9467.6,9546.1,9574.1,9445.1,144.31,-1.06
9569.5,9585.7,9597.1,9502.3,104.42,-0.39
9606.5,9667.6,9671.1,9598.4,114.91,-0.55
9659.8,9631.6,9662.7,9596.2,79.6,0.73
9589.5,9559.7,9625.8,9559.7,99.42,0.23
9567.3,9592.5,9630.2,9556.2,93.56,-0.13
9580.2,9535.5,9595.4,9512.4,114.12,0.33
9549.0,9465.9,9591.0,9459.4,110.66,0.85
9468.6,9448.9,9512.5,9437.1,95.32,0.54
9417.3,9450.3,9457.0,9357.6,141.12,-0.11
9427.4,9440.8,9458.9,9384.7,138.15,0.43
9386.8,9537.0,9547.6,9339.5,163.61,-1.26
9507.0,9574.8,9596.3,9476.9,164.12,-0.25
9530.4,9543.8,9558.4,9475.1,177.47,-0.75
9602.1,9669.6,9675.6,9557.4,224.94,-1.56
9754.6,9745.2,9756.7,9693.2,108.33,0.08
9747.1,9763.9,9794.0,9700.4,107.99,-0.26
9772.8,9751.8,9813.6,9743.4,101.97,0.52
9722.7,9758.4,9788.4,9699.3,114.09,-0.18
9739.8,9710.3,9762.7,9671.2,146.43,0.43
9698.2,9765.9,9783.8,9666.6,196.96,-1.03
9799.3,9871.1,9902.3,9795.1,136.28,-0.72
9870.7,9846.2,9924.4,9843.5,203.08,0.17
9854.1,9827.9,9905.3,9825.1,140.6,-0.14
9867.9,9781.6,9896.0,9775.9,230.69,0.9
9780.0,9741.2,9789.7,9732.5,184.76,0.79
9703.1,9769.8,9771.7,9686.2,149.29,-0.72
9773.1,9775.9,9820.1,9753.9,160.66,0.48
9726.1,9699.7,9747.6,9661.4,116.98,0.01
9724.8,9710.4,9751.3,9654.3,162.18,0.04
9721.1,9748.9,9796.7,9696.2,147.19,-0.33
9753.2,9739.1,9753.2,9672.7,143.48,0.35
9719.4,9716.4,9759.5,9643.9,175.05,0.03
9716.9,9733.6,9781.1,9697.1,113.17,-0.18
9734.8,9807.5,9807.5,9717.6,132.53,-0.33
9767.4,9774.8,9784.8,9694.4,128.9,0.35
9733.6,9822.5,9833.4,9733.6,175.89,-1.57
9889.3,9935.6,9938.0,9873.3,147.68,-0.38
9927.0,9923.5,9971.6,9912.7,130.08,0.22
9905.0,9905.0,9926.9,9833.2,166.58,0.39
9866.2,9773.5,9919.5,9773.5,184.52,1.11
9757.5,9643.8,9767.2,9642.8,137.32,1.0
9660.9,9591.6,9693.4,9556.1,134.42,1.07
9558.3,9526.3,9591.0,9443.5,153.11,-0.67
9622.7,9671.1,9741.3,9620.3,200.36,0.35
9589.0,9603.6,9669.2,9541.9,144.7,-0.72
9658.6,9636.6,9723.9,9506.6,182.58,0.22
9637.4,9670.3,9699.8,9619.1,158.75,0.2
9617.9,9711.4,9737.9,9617.9,151.25,-1.78
9792.1,9738.9,9799.5,9724.9,155.31,0.93
9702.1,9824.4,9844.0,9683.4,161.7,-0.89
9788.9,9835.0,9876.8,9788.9,164.7,0.34
9755.4,9656.6,9782.6,9598.5,172.89,-0.14
9769.4,9818.0,9859.5,9717.0,145.64,-0.83
9851.0,9980.1,9985.9,9798.9,377.07,-1.07
9957.7,9862.4,9973.9,9836.5,180.25,0.59
9899.1,9900.2,9923.9,9838.3,172.85,-0.15
9914.4,9940.6,9961.6,9901.6,158.18,0.16
9898.3,9835.0,9915.2,9799.1,199.95,1.56
9746.3,9762.7,9772.2,9713.2,176.05,-0.84
9829.0,9844.2,9940.6,9814.8,190.78,0.38
9791.6,9702.7,9793.8,9654.4,202.43,1.09
9686.4,9730.6,9812.9,9686.4,183.42,-0.66
9750.3,9716.3,9830.7,9686.8,193.67,1.22
9632.4,9544.7,9677.5,9529.0,238.95,1.76
9465.5,9625.1,9649.0,9400.3,355.89,-1.05
9566.2,9553.0,9618.3,9477.2,283.88,0.47
9521.3,9668.4,9668.4,9447.6,364.03,-2.49
9764.4,9891.4,9921.4,9732.6,155.74,-0.63
9826.5,10031.0,10053.1,9722.8,298.27,-1.7
9996.0,10045.5,10092.5,9964.0,155.88,-0.29
10025.0,10101.8,10101.8,9957.8,157.92,-1.12
10138.8,10081.5,10156.4,10060.8,145.4,0.72
10066.5,10155.2,10155.9,10055.8,110.38,-0.45
